comment,rating,created_at,sentiment,confidence
chất lượng sản phẩm tuyệt vời đóng gói cẩn thận vận chuyển hàng nhanh sẽ ủng hộ shop lâu dài,5,1727602320,1 star,0.3641069531440735
đúng với mô tả:ok chất lượng sản phẩm:tốt giao siêu nhanh đúng 2709 nhận hàng hơi nặng hơn 15promax 1 chút,5,1729673294,1 star,0.4640567898750305
chất lượng sản phẩm:chuan đúng với mô tả:chuẩn tính năng nổi bật:chuẩn đập hộp 16pm,5,1727657273,1 star,0.377503901720047
sản phẩm quá tốt đóng gói cẩn thận chóng sốc quá trời quá đất shipper dễ thương dặn kỹ càng trước khi mở hàng,5,1729912067,1 star,0.46620455384254456
máy đẹpnhưng vận chuyển lâu kinh khủng 5ngày mới nhận dc hàngcó người nhận ngay ngày ra mắt mình thì nay mới nhận dc,4,1727678614,1 star,0.3897464871406555
mua hàng chính hãng nên lúc nào cũng yên tâm hàng chất lượng và còn nguyên seal,5,1731563893,3 stars,0.2531719505786896
tính năng nổi bật:ok đúng với mô tả:ok chất lượng sản phẩm:ok hàng ok nguyên seal đóng gói kỹ ngoại hình đẹp mịn mướt trắng chân ái nhưng mà khâu vận chuyển lôm côm quá quá lâu 1010 đặt mà 1410 mới nhận máy lại còn chiều muộn trong nội thành mà phải hối liên tục rất sốt ruột mong shop cải thiện khâu này để khách yên tâm hơn vì đơn hàng giá trị cao,4,1729147169,1 star,0.47316083312034607
đúng với mô tả:đúng tính năng nổi bật:hệ điều hành ios 18 lỗi khá nhiều chất lượng sản phẩm:bình thường ios dạo này làm tệ hơn kể từ thời serial 13 trở đi lỗi tự khởi động lại liên tục và lỗi vặt android dạo này khá tuyệt đang xài cả 2 hệ điều hành,1,1729673994,1 star,0.4244123101234436
chất lượng sản phẩm:good đúng với mô tả:chính hãng vna mua được đợt sale 1111 giá tốt chứ không thì cũng chưa muốn đồi ngay máy chính hãng vna oke,5,1731597145,1 star,0.4249402582645416
đúng với mô tả:good tính năng nổi bật:good chất lượng sản phẩm:good shop giao hàng nhanh hình ảnh mang tính chất lấy xu hàng đúng màu chuẩn,5,1731654490,1 star,0.45502474904060364
đúng với mô tả:đúng chất lượng sản phẩm:dạo này ios làm tệ tính năng nổi bật:giống serial 15 xài theo trend ios dạo này làm tệ hơn kể từ thời serial 13 trở đi lỗi tự khởi động lại liên tục và lỗi vặt android dạo này khá tuyệt đang xài cả 2 hệ điều hành,1,1729674092,1 star,0.3933810889720917
hàng chính hãng sang xịn mịn giao hàng siêu nhanh luôn,5,1727616994,1 star,0.4734848439693451
tính năng nổi bật:dep chất lượng sản phẩm:tot đúng với mô tả:đúng 16 titan tự nhiên này đẹp nha 100đ,5,1731557768,1 star,0.4247274398803711
sản phẩm chính hãng vna giao nhanh nguyên seal apple thì ngoan rồi nhưng chất lượng để dùng đã rồi đánh giá,5,1731548815,1 star,0.32488468289375305
giao hàng đúng nhanh và đóng gói kĩ càng cẩn thận chính hãng,5,1731559394,1 star,0.3211057782173157
shop giao chuẩn bị đóng gói và hàng nhanh chất lượng sản phẩm chưa sử dụng nên chưa đánh giá vẫn vote 5 sao cho shop hi vọng là hàng chính hãng và sẽ quay lại ủng hộ,5,1731728414,1 star,0.4494644105434418
máy đúng chính hãng vn hàng vna giao khá nhanh săn sale giá khá tốt mong xài ổn định lâu dài để khỏi mua nữa,5,1731650279,1 star,0.34864380955696106
đúng với mô tả:ok chất lượng sản phẩm:toẹt zời tính năng nổi bật:nghe gọi chat chit chụp choẹt đã nhận đc sp mua giá sale giảm hẳn 3 chai màu bờ lách đẹp k tì vết giao hàng hơi lâu nhá spx thay đổi chất lg dịch vụ đi nhá,4,1731745885,1 star,0.530933678150177
chất lượng sản phẩm:tot đúng với mô tả:ok vận chuyển bị móp góc hộp sản phẩm đúng mô tả,4,1731642319,1 star,0.48343852162361145
shop gói hàng kỹ bọc đến 3 lớp giao hàng nhanh hàng như hình cám ơn shop,5,1728392483,1 star,0.5316728353500366
lần đầu tiên mua máy trên shoppe mình không nhận đúng ngày nhưng tiến độ shop giap cho vc là đúng ngày được hỗ trợ nhiệt tình từ shop rất hài lòng máy mình mua may mắn dùng rất tốt,5,1728212715,1 star,0.507333517074585
giao hàng nhanh hàng apple thì k cần phải bàn,5,1729482898,1 star,0.25260305404663086
máy đẹpsăn sale được rẻ giao hàng uy tín và có trách nhiệm,5,1728373960,1 star,0.5209460854530334
chất lượng sản phẩm:chua biet tính năng nổi bật:chua biet đúng với mô tả:ok đã nhận được hàng ok xài lâu mới biết như thế nào,5,1730533989,1 star,0.5019404888153076
vận chuyển nhanh máy mình chưa dùng nên chưa biết chất lượng,5,1728041401,1 star,0.4560911953449249
tốn tiền với apple quá đi trừ đắt ra thì cái gì cũng oke hehe : hàng giao nguyên vẹn nhanh chóng đảm bảo an toàn,5,1730727649,1 star,0.5473620891571045
mua săn seo còn 33tr quá tiẹt zời đi chơi hapi luôn giao nhanh cảm ơn sh nhieu,5,1731482610,1 star,0.6984864473342896
hàng chuẩn chính hãng ship nhanh giao an toàn nhận hàng đầy đủ,5,1731532298,5 stars,0.2627333998680115
không khác gì mua ngoài điện máy mỗi lần người nhà nhờ mua lại tin tưởng ủng hộ shop,5,1731471657,1 star,0.2976703345775604
đúng với mô tả:đúng như shop đã đăng tính năng nổi bật:nghe gọi xem chất lượng sản phẩm:sản phẩm có chất lượng đã nhận được hàng đóng gói tương đối ổn giao hàng hơi lâu hiện tại dùng tốt màu sắc tươi đẹp,5,1731631569,1 star,0.3996080756187439
giao đúng lẹ đặt chiều hôm qua sáng nay nhận rồi,5,1728359664,1 star,0.5231343507766724
giao hàng nhanh hàng chuẩn vna,5,1729570809,5 stars,0.25284069776535034
giao hàng nhanh đúng thời gian đúng hàng đóng gói cẩn thận,5,1731746227,5 stars,0.2870842516422272
hàng chuẩn giao nhanh 5 sao cho shop,5,1727700812,1 star,0.28529438376426697
nhận hàng đầy đủ nhanh chóng,5,1731393134,5 stars,0.407480925321579
sản phẩm chính hãng giao nhanh đúng hẹn,5,1727886627,1 star,0.29844948649406433
cây thứ 2 ủng hộ shop ship siêu lẹ,5,1728467702,1 star,0.33399781584739685
sản phẩm này dùng khá ổn thiết kế đẹp chất lượng tốt dễ dùng hiệu suất cũng ổn định phù hợp với nhu cầu hàng ngày đáng đồng tiền,5,1729674380,1 star,0.5041765570640564
chất lượng sản phẩm:mở bát chiêc settt siu xinhh diện set nè đi đám tiệc tùng cuói năm thêm đôi gót đơn giản mà nó sang khỏi bànn tách lẻ áo quần mix các kỉu khác thành gu dễ thương cũng okiila luông mở bát chiêc settt siu xinhh diện set nè đi đám tiệc tùng cuói năm thêm đôi gót đơn giản mà nó sang khỏi bànn tách lẻ áo quần mix các kỉu khác thành gu dễ thương cũng okiila luông,5,1729591575,1 star,0.4108246862888336
chất lượng sản phẩm:tốt đúng với mô tả:đúng giao nhanh chính hãng,5,1727421715,1 star,0.40653911232948303
chất lượng sản phẩm:ok tính năng nổi bật:ok đúng với mô tả:ok giao hàng hơi lâu nha shop duoc cai hoa đoan may day du tien loi,5,1731484871,1 star,0.5642264485359192
chất lượng sản phẩm:toost đúng với mô tả:tot tính năng nổi bật:tot mềm: tã bỉm gooby được sản xuất 100 từ sợi bông hữu cơ an toàn tuyệt đối ngay cả trên da trẻ sơ sinh kết hợp với công nghệ chun lưng tăng cường đệm mây 4,5,1729861416,1 star,0.45621973276138306
sp giống mô tả giao hàng nhanh hàng chính hãng cám ơn shop chúc shop buôn may bán đắt,5,1730815244,5 stars,0.2532358467578888
đúng với mô tả:đúng chất lượng sản phẩm:chuẩn tính năng nổi bật:chính hãng lần đầu tiên mua iphone online hơi hồi hộp lo lo nhưng khi nhận được máy thấy quá trời ok luôn,5,1731727804,1 star,0.5656133890151978
máy ok nhưng giao hàng chậm lúc đặt hẹn giao 279 mà đến 309 mới giao,5,1727702092,1 star,0.4375160336494446
đúng với mô tả:đúng mô tả chất lượng sản phẩm:tốt mới giao hàng đúng cam kết sản phẩm nguyên seal đúng chuẩn hàng hình ảnh và video chỉ mang tính chất nhận xu :v,5,1731730157,1 star,0.5474297404289246
đúng với mô tả:ðúng chất lượng sản phẩm:tôt giao cực nhanh hàng chính hãng,5,1727486971,1 star,0.37280163168907166
đúng với mô tả:ok tính năng nổi bật:ok chất lượng sản phẩm:ok cá hồi nauy tươi rói mềm tan vừa mổ xong e dư mấy khay sale nốt ah,5,1728969631,1 star,0.5709065198898315
bình luận chưa đánh giá nhưng tôi thích điện thoại này điện thoại dùng rất tốt tôi yêu iphone 16 bro mắt,5,1730446174,3 stars,0.24838967621326447
chất lượng sản phẩm:hàng vna đúng với mô tả:chính hãng apple lúc mua khá run hàng giao mất khoảng 4 ngày hàng bọc kỹ lưỡng với 2 lớp chống sốc nguyên seal apple tem của nhà phân phối,5,1731751559,1 star,0.4428919851779938
như mọi năm : giao hàng đúng hạn máy quá tốt : sẽ ủng hộ lâu dài,5,1727449519,1 star,0.3315519690513611
chất lượng sản phẩm:ok đúng với mô tả:ok tính năng nổi bật:ok ip16 pm quá đẹp,5,1731657276,1 star,0.5098593235015869
màu titan tự nhiên rất đẹp nói chung không có hàng chứ có thì vẫn đặt sa mạc :,5,1731718297,1 star,0.5010282397270203
giao hàng nhanhđúng hàng máy đẹpshipper nhiệt tìnhhhhh,5,1731666731,5 stars,0.36832642555236816
tính năng nổi bật:ok đúng với mô tả:ok chất lượng sản phẩm:ok ok,5,1731554718,1 star,0.40690508484840393
mình mua iphone ở shopee nhìu r lần nào cx ok lah nha,5,1731671940,1 star,0.3331412672996521
đóng hàng cẩn thận,5,1727685971,5 stars,0.38305580615997314
em cảm ơn ngân hàng vpbank đã cho e mã giảm của thẻ ạ mua được với giá rẻ hơn ạđiện thoại đẹp lắm ạ,5,1728554652,1 star,0.6114548444747925
oke đóng gói cẩn thận mk phải mở check ms biết được tmaj thời đánh giá như vậy,5,1728358049,1 star,0.5472790002822876
màu trắng là màu đẹp nhất,5,1730180196,3 stars,0.2880856990814209
chất lượng sản phẩm:tốt đúng với mô tả:đúng đóng gói cẩn thận thời gian giao hàng nhanh,5,1729408168,1 star,0.4476344585418701
giao nhanh đúng mẫu mã đã chọn nói chung là hài lòng thank you,5,1728476283,1 star,0.26336851716041565
giao nhanh đúng mẫu mã đã chọn nói chung là hài lòng thank you,5,1728476244,1 star,0.26336851716041565
giao nhanh đúng mẫu mã đã chọn nói chung là hài lòng thank you,5,1728476304,1 star,0.26336851716041565
giao nhanh đúng mẫu mã đã chọn nói chung là hài lòng thank you,5,1728476359,1 star,0.26336851716041565
quá tuyệt vời 10 đ ko còn gì phải nói giá đẹp tuỷe vời,5,1728453789,1 star,0.6162758469581604
giao nhanh giá tốt bạn shipper thân thiện nhiệt tình,5,1727458301,3 stars,0.22229595482349396
chờ giao hàng hơi lâu nhưng hàng chính hãng new nguyên seal nên rất sướng cảm ơn shop cảm ơn sàn rất nhiều ạ,5,1727692858,1 star,0.5067857503890991
dane phảm tốt ok đúng với miêu tả sẽ các bạn nên mua nhé,5,1727967887,1 star,0.39390066266059875
dt dep giao hoi lau nguyen seal mau dep ap dc ma gian gia lai con dc freeship,5,1728451760,1 star,0.4500119388103485
đúng với mô tả:đúng sản phẩm chất lượng sản phẩm:chất lượng tốt giao hàng nhanh uy tín chất lượng,5,1731575971,1 star,0.5254083275794983
giao hàng nhanh shipper thân thiện sản phẩm dùng ổn sẽ mua thêm khi có nhu cầuxcvmnzb dhfkfksjahdhdhshahxbcncn,5,1730092304,1 star,0.5360939502716064
tính năng nổi bật: đóng gói chắc chắn chưa dùng nên chưa biết tốt hay không đóng gói chắc chắn,5,1727944378,1 star,0.39910024404525757
hàng chính hãng đóng gói cẩn thận,5,1728269666,1 star,0.2308662384748459
chất lượng sản phẩm:tốt đúng với mô tả:đúng tính năng nổi bật:hàng chuẩn,5,1731672089,1 star,0.4338982105255127
hàng chính hãng đóng gói cẩn thận,5,1729417079,1 star,0.2308662384748459
hàng quá đẹp lại mua được với voucher của shopeecảm ơn shopee ạ,5,1728472344,1 star,0.6645035147666931
máy đẹp giao nhanh,5,1730562448,5 stars,0.47280070185661316
đã nhận hàng tố như kỳ vọng,5,1731658596,1 star,0.42023539543151855
vẫn cứ là ok năm nào cũng quất một em về trưng lên nóc tủ là cảnh chơi,5,1729336369,1 star,0.31308892369270325
chất lượng sản phẩm:tốt tính năng nổi bật:mới nhất đúng với mô tả:giao nhanh đúng mẫu giao nhanh đóng gói hơi sơ sài hộp bọc lúc nhận bị rách nhưng bên trong nguyên vẹn nên cũng đỡ lo hy vọng lúc khui hộp ok,5,1731683019,1 star,0.4243227541446686
chất lượng sản phẩm:good đúng với mô tả:đúng tính năng nổi bật:chụp ảnh shop đóng hàng cẩn thận giao hàng nhanh chóng,5,1731475353,1 star,0.480499804019928
không có gì để đánhhàng của apple và là 16promax mới ra thù không có gì đánh giá,5,1728007677,1 star,0.2975526452064514
ship hàng nhanh chóng,5,1731472064,1 star,0.3094225227832794
giao hàng nhanh chóng shipper vui vẻ dễ tính áp được mã nên đánh giá luôn chứ chưa bóc hàng,5,1727793742,1 star,0.44787904620170593
chất lượng sản phẩm tuyệt vời đóng gói cẩn thận vận chuyển hàng nhanh sẽ ủng hộ shop lâu dài,5,1730091667,1 star,0.3641069531440735
đúng với mô tả:hàng nhận nhanh chóng bảo đảm uy tín,5,1727668151,1 star,0.42995011806488037
giao hàng hơi lâu sao với mọi khi là 3 ngày lần này 5 ngày hàng đóng gói cẩn thận,5,1731746631,1 star,0.33466750383377075
10đ đóng gói và vận chuyển siêu nhanh,5,1731545416,1 star,0.4237639307975769
hàng đúng mô tả,5,1731677902,5 stars,0.40109989047050476
hàng chất lượng đóng gói kĩ,5,1731848409,1 star,0.254308819770813
hàng chuẩn chính hãng giao hàng nhanh,5,1727588415,5 stars,0.2502109408378601
quá đã luôn rồiiii,5,1731666913,1 star,0.403874009847641
đúng với mô tả:đúng hãng,5,1731586130,1 star,0.30312150716781616
cầm trên tay đã đã apple mãi đỉnh,5,1727442546,5 stars,0.42874467372894287
địa chỉ mua đồ điện tử uy tín mình mua rất nhiều lần rồi chuẩn chính hãng nhận hàng nhanh,5,1728285794,1 star,0.436637818813324
năm nào cũng săn được 1 ẻm khá khen cho shopee năm nay khá ngon khá nhanh nha quí dị ơi nên mua ạ,5,1728370663,1 star,0.29014307260513306
nguyen đai nguyên kiện nguyên sela giad tốt da mua nhieu lần r nhé,5,1731668597,1 star,0.5471653342247009
hàng oksẽ mua cho gia đình lần sau,5,1728456891,1 star,0.6627198457717896
giao hàng nhanh canh sale nên giảm nhiều hi vọng sử dụng ok hình ảnh và video mang tính chất nhận xu,5,1731736945,1 star,0.3444144129753113
hàng đúng mô tả chuẩn chỉ,5,1731744559,5 stars,0.3439558744430542
sản phẩm ok shop giao hàng nhanh lắm ak nhưng bận quá nên mình khum chụo được ảnh sản phẩm hihi,5,1730433205,1 star,0.35780537128448486
điện thoại đẹp lắm ạ,5,1728400865,1 star,0.3369327485561371
sp đúng như mô tả,5,1729849475,5 stars,0.26534485816955566
giao nhanh bọc kỹ,5,1731627417,1 star,0.25607994198799133
giao hàng nhanh,5,1731644166,5 stars,0.38459935784339905
thực tế chứng minh: chỉ cần trong túi có tiền tâm trạng sẽ luôn vui vẻ thoải mái và ko áp lực,5,1729047343,2 stars,0.29678812623023987
ảnh và video mang tính chất nhận xu đã mua ở shop nhiều lần rồi,5,1731731264,1 star,0.4987112283706665
ngon ship nhanh,3,1731655875,5 stars,0.3830263912677765
được giảm 2 triệu shop với store nên rất hời hạnh phúc ngập tràn tình yêu đất nước tôi ơi,5,1730630453,1 star,0.43736976385116577
theo hệ thống theo dõi đơn của shopee hàng về kho tân bình cách nhà mình mấy trăm mét thôi 9h 1011 cũng đổi trạng thái dự kiến giao 1011 nhưng đến chiều 1111 mình hối riết mới giao hàng giá trị cao mà để kho lâu rất dễ xảy ra sự cố đề nghị đơn vị xem lại quy trình giao hàng giá trị cao hợp lí,5,1731466247,1 star,0.5333487391471863
đúng với mô tả:hd tính năng nổi bật:ỉu chất lượng sản phẩm:ts my mobifone tich diem ngay nhan qua hay 2024 tham gia tich diem tren ung dung my mobifone tu nay den het ngay 06102024 de lua chon cac qua tang tri gia 200000d va uu dai hap dan khac cua mobifone chi tiet truy cap ung dung my mobifone xin cam on,5,1729352873,1 star,0.6105829477310181
nhân kỷ niệm 70 năm ngày giải phóng thủ đô 10101954 10102024 ubnd tp hà nội tổ chức ngày hội văn hóa vì hòa bình kỷ niệm 25 năm unesco tặng danh hiệu thành phố vì hòa bình,5,1728102208,1 star,0.5954741835594177
uy tín đúng mã vna chuẩn việt nam,5,1731729108,1 star,0.3796426057815552
vừa mất tiền quà lại mất cả tiền tổ chức sinh nhật không có chủ đích đi làm thì lương 3 cọc 3 đồng bạn ln chia sẻ,5,1731170113,1 star,0.43659254908561707
tính năng nổi bật:titan sa majc chất lượng sản phẩm:toits đúng với mô tả:đúng chờ mãi mới về tay mòn mỏi quá nhưng xứng,5,1727714478,1 star,0.6170390248298645
chất lượng sản phẩm:tốt,5,1730540166,3 stars,0.2756580710411072
sản phẩm ok vì là của hãng mà chưa test chức năng nhưng đẹp đã sẽ mua thêm nếu có điều kiện,5,1731580330,1 star,0.41980788111686707
mua giá 31890000 tuy máy ra mắt hơn 1 tháng nhưng rẻ 3 triệu,5,1731727933,1 star,0.5379037261009216
chất lượng sản phẩm:ok tính năng nổi bật:ok đúng với mô tả:ok sản phẩm ok nhưng giao hàng không gọi cho người mua là dịch vụ quá tệ mất sản phẩm thì shopee sẽ rất phiền,5,1731560584,1 star,0.41745662689208984
chưa dùng nhưng mong sản phẩm tốt để mình sử dụng lâu dài sẽ ủng hộ nếu sản phẩm tốt,5,1731735596,1 star,0.45379918813705444
chưa thấy công ty xuất vat,5,1731812096,1 star,0.7690042853355408
giao lâu dã man 1 tuần mới nhận dc,5,1731666961,2 stars,0.30414432287216187
chất lượng sản phẩm:tốt chính hãng đúng với mô tả:đúng mô tả đã nhận hàng còn nguyên seal hàng chuẩn apple vn chưa kích hoạt chất lượng tốt tuy nhiên không nghĩ apple store vn đóng gói 1 món hàng 35 triệu vnđ sơ sài như vậy quấn nilon qua loa gói 1 lượt chống sốc hộp giấy carton loại phổ thông rẻ tiền chỉ dán đúng 1 lượt băng dính trắng shoppe và 2 tem niêm phong 2 cạnh mặt sau và các góc dễ dàng bị khui nếu một ai đó trong quy trình nhận giao hàng có ý đồ xấu vậy nên không có gì bất ngờ nếu có các vụ bị mất tráo ruột trong quá trình giao có lẽ store cần phải cải thiện nhiều về mức độ chuyên nghiệp store có thể tham khảo các apple quốc tế khác để biết shipper tận tình và chuyên nghiệp,5,1731864479,1 star,0.38695451617240906
chắc do 1111 nên chuẩn bị hàng lâu với đóng gói như này đúng chất không sợ bị ăn cắp nếu không nhìn tên hàng shop gói phèn như 1 món hàng bình thường mà còn đề tên sản phẩm ở ngoài gói hàng luôn lúc nhận được hộp nó móp thôi rồi với may mà không bị mất còn về chức năng thì chắc ai cũng như ai khỏi nói chi nhiều,5,1731854208,1 star,0.370298832654953
đúng với mô tả:uy tín chất lượng sản phẩm:hàng nguyên seal tính năng nổi bật:mã vna hàng nguyên seal mã vna đóng gói cực cẩn thận,5,1732036489,1 star,0.47851723432540894
shop giao hàng nhanh vỏ đẹp màu son xinh xỉu mua đợt sale giá tốt lại còn được tặng 3 gói dầu gội và 1 cọ tán rất xinh nói chung với giá tiền này mà mua được son chính hãng và kèm thêm bao nhiêu quà thì rất ok nha nên mua nha các nàng,5,1731996977,1 star,0.515448808670044
dùng 3 ngày rồi ok nhưng giao hàng siêu lâu hộp dù đóng gói cẩn thận nhưng vẫn bị móp nvien trả lời hơi chậm mua đc giá 32089k,4,1732060862,1 star,0.6347805857658386
hàng đợt này ship siêu lâu 1111 mà 1811 mới đc nhận hàng m đã phải đặt bên viettel để lấy máy xài trc hàng hnay về pass lại để bù vào tiền đth mua sau mắc hơn tks shop,5,1731939069,1 star,0.5009416937828064
máy ngon giá tốt giao nhanh sẽ tiếp tục mua thêm tiếc là ko còn màu sa mạc nên phải mua màu trắng,5,1732066025,1 star,0.39034152030944824
giao hàng nhanh đóng gói cẩn thận hàng auth mà giá siêu rẻ các bạn cứ yên tâm mua hàng của shoppp nha sẽ tiếp tục ủng hộ shop lâu dài lun ạ,5,1731895570,1 star,0.41302964091300964
tính năng nổi bật:như mô tả đúng với mô tả:đúng chất lượng sản phẩm:tốt shop làm việc rất tốt bọc hàng cẩn thận giao hàng nhanh chóng cảm ơn shop,5,1731987029,1 star,0.5979077219963074
đóng gói sơ sài không hiểu sao hàng giá trị cao mà shop đóng hàng sơ sài đến vậy lúc mình nhận hàng băng dính suýt chút nữa đã bị bong ra hộp thì méo mó hàng bên trong k có vấn đề gì nhưng vẫn mong shop cải thiện cách gói hàng kỹ càng hơn,3,1731892132,1 star,0.3217974305152893
chất lượng sản phẩm:tot tính năng nổi bật:tot đúng với mô tả:dung hang chuẩn chính hãng apple săn dc giá tốt lại hời màu đẹp bọc hàng rất cẩn thận ship nhanh 4 hôm nhận được rồi thanks,5,1732033540,1 star,0.41218945384025574
chất lượng sản phẩm:tốt đúng với mô tả:có mình oder ip16promax nên cũng hồi hộp chờ hàng hàng seal chuẩn và đẹp an tâm chất lượng đúng apple,5,1732024822,1 star,0.4294187128543854
điện thoại mắc tiền mà shop xài hộp chán quá hộp giấy bên ngoài ship đến móp méo hết đt dùng thì vẫn tốt hi vọng k bị lỗi gì,5,1731901501,1 star,0.49208250641822815
máy chính hãng chuẩn hàng chĩnh hãng việt nam chưa kích hoạt,5,1731947874,4 stars,0.24213048815727234
chất lượng sản phẩm: tính năng nổi bật: đúng với mô tả: all vui chơi không quên nhiệm vụ tuần sau chúng ta vào kỳ thi rồi ngày mai là môn thi đầu tiên ca sáng nên các bạn chú ý đi thi đúng giờ nhé các bạn vào cổng thông tin sinh viên để xem lịch thi phòng thi ngày giờ thi đi thi nhớ mang theo thẻ sinh viên với ai chưa có thẻ thì mang căn cước công dân,5,1731955100,1 star,0.5363757014274597
gian hàng chính hãng giao hơi lâu so với mọi lần shop cố gắng khắc phục ạ,5,1732016804,1 star,0.31293028593063354
sản phẩm có chất lượng phù hợp giá ship 03 ngày hàng chính hãng nên yên tâm ảnh và video minh hoạ nhận xu ạ,5,1731985492,1 star,0.34043610095977783
đúng với mô tả:đúng chất lượng sản phẩm:mới hàng chuẩn chính hãng lần đầu đặt sp giá trị cao trên sp nên cũng hơi lo lắng nhưng nhận hàng k vấn đề gì,5,1731939214,1 star,0.4673381745815277
mua dịp 1111 nên giao khá lâu dù nhà kế kho có thể thông cảm được vì có voucher giảm 5 triệu quá ngon luôn cân nhắc mua thêm 1 con nếu có mgg sâu nữa trước cũng từng mua 1 con 14 pro qua shop đang dùng để đăng nhận xét này kkk,5,1731885453,1 star,0.5273759365081787
tính năng nổi bật:nổi bật đúng với mô tả:đúng chất lượng sản phẩm:tuyệt vời lần đầu mua hàng giá trị cao kiểu này củng run chờ 2 ngày ship tới hộp còn bị móp lại run hơnkkknhưng khui hộp bên trong có quấn chống sốc nên ok đúng hàng chính hãng vna tem viettel lần sau sẽ tiếp tục ủng hộ shop,5,1732077111,1 star,0.5825935006141663
đúng với mô tả:yes chất lượng sản phẩm:ok hiện tại quá ok giá lúc mua 1111 31890,5,1731915945,1 star,0.34597641229629517
đúng với mô tả:dung chất lượng sản phẩm:tốt tính năng nổi bật:quá ok giao hàng hơi lâu hộp nát quá may bóc ra k làm sao,5,1732097680,1 star,0.49133431911468506
hàng đẹp chuẩn chính hãng sẽ ủng hộ shop khi có nhu cầu ảnh mang tính nhận xu,5,1731927468,1 star,0.4576321244239807
tính năng nổi bật:ok chất lượng sản phẩm:tốt đúng với mô tả:đúng 4 ngày mà ngỡ như 4 tháng cảm giác ngóng chờ,5,1732019208,1 star,0.290519654750824
gói hàng cẩn thận nhưng ship hơi lâuuuuuuuuuuuuuuu chắc do 1111,5,1731978467,3 stars,0.2974965274333954
tính năng nổi bật:iphone mới đúng với mô tả:đúng chất lượng sản phẩm:tuyệt vời hình ảnh chỉ mang tính chất nhận xu chúc thầy ngày nhà giáo việt nam vui vẻ và ý nghĩa cảm ơn thầy vì đã luôn là người thầy tận tâm là ngọn đuốc sáng dẫn dắt chúng em,5,1731991902,1 star,0.536271333694458
giao hàng nhanh đúng hẹn đóng gói kĩ nguyên vẹn tuyệt vời,5,1731957329,1 star,0.3548731505870819
giao hàng hơi lâu so với mọi khi vì hàng từ tận hcm ra máy fullbox nguyên tem giá sale quá ngon,5,1732010679,1 star,0.5431342720985413
