MaSV,10%,20%,20%_1,Thi
r74,10.25,6.5,6.5,9.75
r75,5.0,9.5,10.75,10.25
r76,6.75,7.75,6.75,7.5
r77,9.25,10.25,6.5,7.5
r78,10.75,6.75,9.0,9.5
r79,6.25,5.25,8.25,7.75
r80,5.75,8.0,5.25,8.5
r81,10.5,10.0,8.5,9.25
r82,10.25,8.25,8.5,7.5
r83,6.5,8.5,8.75,6.75
r84,10.75,6.0,9.75,5.25
r85,6.0,8.5,8.25,9.5
r86,8.75,10.0,10.0,5.75
r87,8.75,7.0,5.0,6.0
r88,9.5,10.0,5.0,6.25
r89,10.0,10.0,6.25,5.0
r90,10.5,8.25,10.75,8.75
r91,7.25,8.75,6.0,6.5
r92,10.25,5.75,10.25,8.25
r93,8.25,8.75,9.5,5.25
r94,5.25,9.75,5.25,7.0
r95,10.0,9.25,10.0,9.75
r96,5.5,7.0,5.25,6.5
r97,5.75,6.75,9.75,7.0
r98,10.25,8.5,9.5,6.25
r99,5.75,7.0,8.0,6.25
r100,10.25,8.0,9.75,10.25
r101,9.25,6.5,6.0,8.0
r102,9.0,5.0,7.25,5.75
r103,8.75,8.25,10.25,7.75
r104,7.25,8.5,10.5,5.25
r105,7.5,6.75,5.75,5.75
r106,7.25,7.25,10.5,8.0
r107,9.5,9.75,10.25,7.25
r108,6.5,10.75,5.75,10.5
r109,8.75,5.75,7.5,8.0
r110,9.25,10.0,9.25,6.5
r111,5.5,7.25,7.5,7.75
r112,5.75,9.5,9.0,9.5
r113,5.5,9.5,5.25,8.5
r114,9.0,10.25,5.75,5.75
r115,7.0,7.25,10.5,7.5
r116,10.5,9.25,5.0,10.75
r117,6.5,7.75,10.5,10.75
r118,9.25,9.25,5.5,10.25
r119,9.25,9.5,9.75,8.75
r120,6.5,8.75,9.25,7.75
r121,5.75,5.25,5.25,7.25
r122,6.75,5.75,6.25,7.0
r123,9.25,7.0,10.25,6.5
r124,7.25,8.25,7.5,9.5
r125,8.5,10.75,9.75,6.0
r126,8.5,5.25,9.5,7.0
r127,8.25,6.0,5.75,10.0
r128,8.25,5.75,10.0,6.25
r129,5.5,5.75,10.0,8.0
r130,10.25,6.75,5.75,5.0
r131,10.5,6.25,5.0,9.75
r132,6.75,10.25,8.0,10.5
r133,9.0,6.25,5.25,7.5
r134,8.0,9.75,9.25,5.5
r135,6.75,5.75,5.75,5.0
r136,10.0,8.75,5.25,10.5
r137,10.25,7.0,9.75,7.0
r138,6.75,10.25,5.75,8.75
r139,9.25,7.5,10.75,7.0
r140,10.25,9.5,10.25,5.0
r141,8.5,10.75,5.25,10.25
r142,7.75,5.75,10.5,10.75
r143,10.25,9.5,8.25,8.25
r144,7.75,6.0,5.25,6.5
r145,10.75,8.0,8.25,9.75
r146,5.75,8.5,5.75,5.75
r147,6.25,6.25,6.5,5.75
r148,7.25,6.75,5.25,6.0
r149,10.75,8.5,7.75,5.5
r150,7.25,6.0,5.75,7.75
r151,9.25,8.5,7.25,7.75
r152,5.75,9.25,6.25,8.0
r153,6.75,6.5,7.0,5.75
r154,7.75,8.5,7.25,6.5
r155,9.5,10.75,6.0,10.75
r156,9.5,5.25,7.5,6.5
r157,7.75,7.5,9.25,8.0
r158,9.5,9.75,5.75,7.0
r159,9.75,10.5,6.75,8.75
r160,10.25,7.0,6.5,9.75
r161,5.25,6.25,6.0,6.25
r162,6.5,5.25,5.75,9.75
r163,6.25,5.25,6.5,9.0
r164,6.5,9.5,9.75,6.75
r165,8.25,9.25,10.75,10.25
r166,6.25,9.0,8.0,5.25
r167,10.5,9.5,9.0,10.5
r168,5.75,5.0,7.25,9.0
r169,8.25,10.5,10.25,8.75
r170,6.5,8.0,6.75,8.5
r171,7.25,7.5,6.0,6.5
r172,7.75,6.5,9.0,8.25
r173,8.0,5.0,9.0,10.0
r174,6.0,6.25,5.5,10.75
r175,6.75,10.25,10.25,7.75
r176,7.5,6.5,6.5,6.0
r177,6.0,10.0,6.0,5.5
r178,10.75,9.75,5.0,8.25
r179,6.25,8.0,8.75,9.5
r180,10.0,5.25,8.75,8.0
r181,5.5,5.0,8.25,7.0
r182,5.25,5.25,5.75,7.25
r183,10.75,7.0,8.25,8.5
r184,7.0,7.25,6.5,8.75
r185,10.75,9.5,7.25,10.5
r186,10.25,7.75,10.25,8.5
r187,6.5,7.25,7.0,9.75
r188,8.0,10.25,6.25,5.0
r189,7.5,6.75,6.75,8.5
r190,7.5,10.75,7.5,9.0
r191,6.5,9.25,5.25,7.5
r192,8.5,10.0,6.75,10.5
r193,6.75,10.75,10.25,9.5
r194,9.0,8.5,6.25,8.75
r195,10.25,6.5,6.0,5.75
r196,9.0,10.75,9.25,10.0
r197,10.5,10.25,10.25,8.25
r198,5.75,6.0,10.0,6.25
r199,6.5,9.25,7.75,7.75
r200,5.0,6.25,10.5,10.25
r201,6.25,10.25,5.5,8.0
r202,8.25,6.75,8.25,10.5
r203,7.5,8.75,7.0,10.25
r204,7.0,8.5,10.75,6.0
r205,5.5,6.75,9.75,8.0
r206,10.75,8.5,8.5,7.0
r207,7.0,5.25,7.25,10.0
r208,10.75,6.5,10.0,6.0
r209,5.25,5.25,5.0,7.25
r210,10.5,7.0,9.0,7.5
r211,8.75,9.5,5.25,5.75
r212,6.5,6.75,8.75,6.75
r213,8.25,5.25,8.5,5.75
r214,10.75,8.0,6.0,8.5
r215,8.5,5.75,10.5,6.75
r216,7.0,8.25,6.75,6.0
r217,7.0,10.5,8.25,6.25
r218,9.5,6.25,6.25,8.25
r219,7.75,9.5,7.25,6.25
r220,5.5,10.25,8.75,9.0
r221,9.0,7.75,9.0,9.25
r222,10.0,10.75,8.25,5.5
r223,10.0,6.25,10.25,10.25
r224,5.75,9.75,8.0,10.25
r225,10.5,7.75,8.75,8.0
r226,10.25,9.75,7.75,8.5
r227,7.25,8.75,10.25,7.25
r228,10.75,5.75,5.5,7.75
r229,5.5,8.5,7.75,5.5
r230,8.25,6.5,8.75,6.0
r231,7.5,10.25,6.75,5.25
r232,5.25,5.0,5.75,10.5
r233,6.25,9.0,6.25,5.75
r234,10.75,10.0,7.25,9.5
r235,8.5,6.25,8.5,10.5
r236,7.5,5.25,6.5,9.75
r237,7.25,10.0,5.5,10.25
r238,10.25,5.25,10.0,6.5
r239,8.0,9.25,9.0,6.0
r240,6.5,6.5,6.75,10.75
r241,7.0,8.25,10.75,5.25
r242,6.0,5.0,5.75,10.5
r243,7.0,5.75,6.25,5.75
r244,9.75,7.5,10.75,7.25
r245,9.75,7.75,7.0,10.5
r246,9.75,5.75,10.0,6.5
r247,10.75,5.25,7.5,6.5
r248,5.25,7.75,5.25,6.0
r249,10.0,5.25,7.25,8.0
r250,5.0,8.75,9.0,6.5
r251,5.0,6.75,10.5,7.5
r252,9.5,10.75,5.0,7.0
r253,10.5,5.0,6.5,10.5
r254,9.0,7.75,9.0,9.0
r255,5.5,5.0,6.75,5.0
r256,5.25,7.25,5.0,10.75
r257,8.5,9.0,7.75,8.25
r258,6.5,9.75,8.25,8.5
r259,7.5,7.0,7.25,7.0
r260,5.0,8.0,10.75,6.0
r261,8.0,5.75,10.25,8.5
r262,6.0,9.5,7.25,9.25
r263,9.0,5.75,8.25,9.25
r264,9.25,6.25,9.0,8.25
r265,10.25,5.25,7.25,10.0
r266,9.0,9.75,9.75,6.75
r267,6.0,6.0,7.25,10.25
r268,10.75,7.5,5.5,6.0
r269,7.25,5.5,8.5,7.25
r270,7.25,10.75,10.5,9.5
r271,6.0,6.5,10.0,10.75
r272,6.25,10.25,8.25,6.25
r273,6.75,6.5,8.0,10.75
r274,8.5,6.5,6.25,10.75
r275,5.5,8.5,6.5,7.25
r276,5.0,9.5,9.25,5.75
r277,9.5,5.25,8.25,9.0
r278,6.5,8.5,6.5,8.75
r279,9.75,10.0,8.5,10.75
r280,6.0,8.0,9.0,5.0
r281,5.25,5.75,6.5,9.75
r282,10.5,6.5,5.0,5.5
r283,8.25,9.5,6.5,7.25
r284,5.75,10.0,8.5,5.75
r285,5.75,6.25,7.5,8.5
r286,9.5,6.75,10.25,10.75
r287,7.75,8.0,9.25,10.75
r288,8.0,5.25,8.75,5.75
r289,10.25,5.5,9.0,9.5
r290,7.0,5.25,8.5,8.75
r291,5.5,8.25,7.0,6.5
r292,8.25,10.0,10.5,7.25
r293,10.0,7.75,5.25,9.25
r294,9.75,6.75,6.5,6.0
r295,6.5,7.75,8.25,5.0
r296,8.0,5.5,6.25,8.25
r297,7.75,6.0,10.75,7.5
r298,10.25,5.0,8.5,8.25
r299,10.0,9.75,5.5,8.0
r300,8.5,7.0,5.0,5.0
r301,8.5,7.0,9.25,8.75
r302,8.0,6.5,9.25,7.5
r303,7.0,5.5,5.25,10.5
r304,6.0,9.25,6.5,6.25
r305,10.25,6.5,8.75,10.0
r306,10.0,6.5,6.75,9.5
r307,10.0,8.75,9.25,6.0
r308,9.25,9.25,5.25,7.75
r309,7.75,10.75,6.5,7.0
r310,6.25,7.0,9.0,5.25
r311,7.25,7.0,9.25,10.25
r312,6.75,5.5,9.75,8.5
r313,8.75,5.25,5.75,10.0
r314,10.0,8.0,9.0,9.0
r315,6.5,10.0,7.75,9.5
r316,6.25,5.5,5.0,7.25
r317,7.75,10.75,10.25,8.5
r318,10.25,8.5,7.25,7.5
r319,5.5,5.25,10.25,5.25
r320,10.25,10.75,6.5,8.75
r321,10.0,6.0,6.25,9.0
r322,5.5,7.75,9.5,5.75
r323,9.5,5.75,6.0,7.25
r324,5.0,10.0,8.25,8.25
r325,9.25,8.25,5.5,6.75
r326,9.25,10.5,9.75,8.75
r327,9.75,5.0,10.75,9.25
r328,5.75,7.25,8.75,10.75
r329,6.25,7.75,5.25,6.0
r330,8.25,9.25,6.5,5.75
r331,7.25,8.25,5.25,5.0
r332,6.0,5.25,10.5,10.75
r333,5.0,6.75,8.0,10.0
r334,6.75,6.5,5.25,5.25
r335,8.0,7.0,8.5,10.5
r336,5.75,6.0,10.75,9.5
r337,8.5,5.25,5.25,10.0
r338,5.0,8.0,9.0,8.75
r339,8.25,9.75,6.5,6.5
r340,9.0,8.5,10.75,6.75
r341,10.0,9.25,8.5,9.5
r342,8.0,8.5,10.5,8.25
r343,9.25,5.5,7.0,7.25
r344,8.25,7.5,5.5,6.5
r345,9.25,7.5,5.5,7.25
r346,6.0,9.5,5.75,7.0
r347,5.25,7.5,7.5,8.75
r348,6.5,9.75,9.5,5.0
r349,7.5,10.25,6.75,10.75
r350,6.5,10.0,7.25,6.75
r351,10.75,8.5,10.5,5.25
r352,9.75,10.75,5.25,8.5
r353,6.75,5.0,10.5,7.75
r354,8.0,9.75,9.0,5.75
r355,6.5,6.5,5.25,9.75
r356,6.75,8.0,5.75,8.0
r357,10.25,7.5,8.5,8.75
r358,7.0,5.75,8.25,7.25
r359,10.5,8.0,7.25,6.5
r360,6.0,9.25,10.25,10.75
r361,5.5,9.5,10.5,9.5
r362,7.0,9.0,5.25,10.0
r363,5.0,5.75,9.0,8.25
r364,10.0,7.25,5.5,8.75
r365,8.0,8.25,10.25,7.75
r366,9.5,5.25,8.25,6.75
r367,8.75,6.0,7.25,10.75
r368,10.0,8.25,10.0,10.5
r369,7.75,8.5,6.75,9.75
r370,9.5,10.0,5.0,6.5
r371,5.25,8.5,9.5,6.75
r372,7.75,9.5,10.75,5.75
r373,6.25,5.0,7.5,9.25
r374,8.25,5.0,6.25,7.0
r375,6.25,7.75,9.25,7.75
r376,8.75,7.75,5.0,8.25
r377,10.5,10.5,10.0,7.0
r378,7.5,8.75,9.5,10.75
r379,8.75,10.5,10.25,9.5
r380,10.5,5.25,5.5,6.0
r381,8.25,5.75,6.5,7.25
r382,7.0,10.75,5.75,8.5
r383,8.25,9.75,7.25,8.0
r384,7.75,5.0,6.25,8.75
r385,9.75,9.0,10.5,6.5
r386,6.25,5.0,6.5,10.75
r387,7.5,9.5,6.75,8.0
r388,5.0,7.5,9.0,10.75
r389,7.0,7.75,8.25,7.75
r390,8.75,7.25,6.75,8.5
r391,10.5,10.0,9.5,9.75
r392,5.0,9.0,6.0,7.25
r393,10.75,10.0,7.25,6.75
r394,7.75,6.5,6.5,10.75
r395,9.25,9.25,7.0,6.5
r396,10.0,8.0,6.75,10.5
r397,10.75,10.75,5.5,5.5
r398,8.0,5.25,8.75,6.5
r399,5.0,8.25,8.5,5.0
r400,8.75,6.75,10.5,5.25
r401,5.5,7.75,7.0,10.0
r402,6.75,10.75,8.25,7.5
r403,10.25,9.5,8.0,7.25
r404,7.5,10.0,7.75,5.0
r405,7.5,7.5,8.0,7.75
r406,8.75,5.75,5.0,6.5
r407,9.0,10.0,6.0,7.5
r408,5.0,5.5,7.75,9.5
r409,5.75,10.25,7.25,9.25
r410,7.0,9.5,7.25,10.25
r411,9.5,5.0,5.75,8.5
r412,10.5,9.25,7.25,5.75
r413,9.25,10.25,6.5,7.5
r414,5.75,9.25,9.5,8.5
r415,10.25,8.0,5.75,5.5
r416,5.0,5.25,7.25,7.75
r417,6.5,10.75,9.25,6.0
r418,9.25,9.25,5.75,5.0
r419,9.25,5.75,5.5,7.25
r420,6.25,5.75,7.75,8.25
r421,9.0,10.5,8.25,9.75
r422,9.75,6.25,5.75,8.75
r423,5.75,8.0,6.25,8.5
r424,9.25,10.75,10.25,7.0
r425,6.25,9.25,5.75,9.5
r426,9.5,8.5,7.75,6.5
r427,5.5,9.5,8.25,6.0
r428,6.75,9.25,10.25,8.75
r429,9.25,5.5,9.0,5.75
r430,9.75,9.0,6.0,9.25
r431,8.25,5.5,5.25,10.5
r432,10.75,8.75,7.75,6.25
r433,6.25,6.5,6.75,6.5
r434,8.0,8.0,9.5,7.5
r435,10.0,9.75,5.0,8.75
r436,6.5,7.75,5.25,6.25
r437,9.25,5.75,9.0,10.25
r438,6.25,8.5,9.0,9.25
r439,9.0,5.5,7.5,10.25
r440,8.5,6.5,7.5,6.75
r441,8.5,6.25,5.0,7.25
r442,9.75,5.5,9.5,10.5
r443,8.75,9.5,9.75,7.75
r444,9.25,5.25,9.5,5.5
r445,10.25,9.5,8.25,10.75
r446,8.5,9.75,5.0,8.5
r447,7.75,7.25,6.75,9.5
r448,6.0,6.25,10.0,6.0
r449,5.25,9.0,8.75,9.25
r450,10.5,10.5,5.25,9.25
r451,5.5,7.0,8.25,8.5
r452,8.25,7.5,5.5,9.5
r453,10.75,5.75,9.5,10.75
r454,7.25,6.75,5.5,10.25
r455,10.75,10.5,7.25,8.25
r456,8.5,9.25,7.5,8.5
r457,10.5,6.5,8.0,10.75
r458,9.25,9.0,6.25,5.75
r459,7.0,8.75,8.5,5.5
r460,9.0,7.0,10.75,10.0
r461,8.0,9.0,10.25,7.75
r462,5.75,7.75,8.25,8.5
r463,8.25,6.5,10.0,7.25
r464,8.75,9.75,7.0,6.75
r465,7.0,6.25,8.75,7.25
r466,5.0,9.5,5.25,9.0
r467,6.75,6.5,9.75,7.25
r468,7.75,5.25,6.25,5.25
r469,9.0,8.25,8.0,5.0
r470,9.0,7.5,9.0,8.5
r471,10.75,10.75,5.5,5.5
r472,5.75,10.5,8.25,8.75
r473,9.0,9.25,5.0,5.25
r474,9.75,6.5,5.25,8.75
r475,9.0,8.0,5.75,5.25
r476,10.0,10.5,8.75,7.25
r477,9.5,6.5,6.5,10.5
r478,6.0,7.0,7.0,9.75
r479,6.0,8.25,8.5,5.25
r480,10.5,9.0,5.25,5.75
r481,8.0,9.0,6.0,9.25
r482,6.25,9.5,6.75,10.25
r483,8.5,9.5,9.0,5.0
r484,10.0,10.0,10.75,6.25
r485,9.0,6.25,10.5,8.75
r486,9.75,8.0,8.5,6.25
r487,8.5,6.5,5.5,7.5
r488,5.5,10.25,5.0,10.25
r489,6.75,9.25,7.75,7.25
r490,10.5,9.0,8.5,6.5
r491,9.0,6.75,7.25,10.75
r492,6.0,8.5,5.5,6.5
r493,7.0,9.25,6.25,5.25
r494,5.5,8.25,10.0,6.75
r495,7.75,7.75,7.0,10.75
r496,10.0,10.75,8.0,7.75
r497,5.5,5.5,6.25,5.5
r498,5.0,9.0,5.5,10.5
r499,10.75,10.25,9.5,6.25
r500,8.0,5.0,5.75,6.75
r501,10.25,10.0,6.0,10.25
r502,5.5,8.75,7.25,10.75
r503,9.75,7.75,7.75,8.75
r504,9.75,10.75,8.25,10.75
r505,10.5,10.25,9.0,8.75
r506,8.75,10.25,6.0,5.0
r507,6.0,9.25,10.25,5.5
r508,5.75,5.0,5.0,7.75
r509,9.75,10.5,10.75,6.0
r510,8.0,10.0,10.0,7.75
r511,9.0,7.0,7.75,5.25
r512,10.25,5.0,10.25,5.0
r513,7.5,9.75,10.5,9.5
r514,6.0,9.25,7.75,7.25
r515,10.75,9.25,10.0,8.75
r516,8.5,10.0,6.0,6.5
r517,8.0,5.25,8.25,10.25
r518,5.0,6.25,8.25,6.25
r519,9.25,6.25,10.25,6.75
r520,8.0,8.75,10.0,7.25
r521,7.5,6.25,10.5,10.75
r522,10.75,7.75,6.0,10.5
r523,10.25,8.75,9.5,8.5
r524,6.5,8.75,8.5,6.25
r525,10.5,9.75,9.75,7.25
r526,10.5,6.25,6.0,7.0
r527,8.0,10.25,6.0,6.75
r528,6.25,9.75,6.0,7.0
r529,9.0,7.5,10.0,7.75
r530,8.0,7.0,5.5,9.0
r531,6.75,9.75,8.75,7.0
r532,8.5,9.75,8.5,7.5
r533,6.0,10.0,6.75,5.75
r534,8.75,5.25,8.5,9.0
r535,10.75,6.25,7.75,7.5
r536,6.5,8.5,8.75,5.75
r537,6.5,7.0,7.0,9.5
r538,6.25,8.5,6.75,10.25
r539,9.25,8.0,7.5,7.0
r540,5.25,6.75,5.5,5.0
r541,9.5,6.5,8.25,9.75
r542,8.0,6.0,8.25,5.25
r543,8.5,9.0,5.75,9.75
r544,10.75,5.75,5.0,9.5
r545,6.25,6.0,8.5,6.0
r546,10.75,8.0,6.0,9.5
r547,5.0,8.25,6.5,9.75
r548,8.5,10.0,9.5,7.25
r549,10.25,10.0,7.0,5.5
r550,8.25,5.5,5.25,6.5
r551,8.5,8.75,7.0,10.75
r552,9.0,7.75,10.25,10.0
r553,8.25,8.5,10.75,6.75
r554,9.0,8.25,8.75,10.5
r555,9.0,9.0,7.0,6.75
r556,7.0,6.75,7.25,9.5
r557,6.25,8.5,9.5,5.25
r558,9.0,10.0,10.25,7.75
r559,10.25,5.25,10.5,6.5
r560,7.75,9.75,6.0,10.75
r561,9.5,9.25,10.0,10.75
r562,5.75,6.5,6.25,6.25
r563,5.5,7.25,8.5,5.0
r564,8.25,6.0,7.5,9.0
r565,10.5,10.25,6.5,6.25
r566,6.25,8.0,8.5,5.25
r567,6.25,9.5,8.75,7.0
r568,6.25,10.25,7.75,6.25
r569,7.0,9.25,9.5,10.0
r570,10.75,9.5,8.25,8.25
